# [1]Sample ID	[2]ts/tv	[3]het/hom	[4]nSNPs	[5]nIndels	[6]Average depth	[7]nSingletons	[8]Sample name
0	0.000000	0.000000	0	0	0.000000	0	mapped/0739.bam
1	0.000000	0.000000	0	0	0.000000	0	mapped/ACON_CH.bam
2	0.000000	0.000000	0	0	0.000000	0	mapped/APEP_CH.bam
3	0.000000	0.000000	0	0	0.000000	0	mapped/CCB1.bam
4	0.000000	0.000000	0	0	0.000000	0	mapped/CLFT061.bam
5	0.000000	0.000000	0	0	0.000000	0	mapped/CLFT067.bam
6	0.000000	0.000000	0	0	0.000000	0	mapped/CLFT136.bam
7	0.000000	0.000000	0	0	0.000000	0	mapped/CON2A_CH.bam
8	0.000000	0.000000	0	0	0.000000	0	mapped/DB8-4.bam
9	0.000000	0.000000	0	0	0.000000	0	mapped/DB8.2.bam
10	0.000000	0.000000	0	0	0.000000	0	mapped/HR1.bam
11	0.000000	0.000000	0	0	0.000000	0	mapped/HR5.bam
12	0.000000	0.000000	0	0	0.000000	0	mapped/KB347.bam
13	0.000000	0.000000	0	0	0.000000	0	mapped/KBO_317.bam
14	0.000000	0.000000	0	0	0.000000	0	mapped/KBO_319.bam
15	0.000000	0.000000	0	0	0.000000	0	mapped/KBO_327.bam
16	0.000000	0.000000	0	0	0.000000	0	mapped/KRBOOR_317.bam
17	0.000000	0.000000	0	0	0.000000	0	mapped/KRBOOR_323.bam
18	0.000000	0.000000	0	0	0.000000	0	mapped/KRBOOR_331.bam
19	0.000000	0.000000	0	0	0.000000	0	mapped/LM2.bam
20	0.000000	0.000000	0	0	0.000000	0	mapped/MAD_FR.bam
21	0.000000	0.000000	0	0	0.000000	0	mapped/MC58.bam
22	0.000000	0.000000	0	0	0.000000	0	mapped/MG1_ZA.bam
23	0.000000	0.000000	0	0	0.000000	0	mapped/MODS28_IT.bam
24	0.000000	0.000000	0	0	0.000000	0	mapped/RC5.1_FR.bam
25	0.000000	0.000000	0	0	0.000000	0	mapped/SA-EC5.bam
26	0.000000	0.000000	0	0	0.000000	0	mapped/SA-FS1.bam
27	0.000000	0.000000	0	0	0.000000	0	mapped/SA-KN1.bam
28	0.000000	0.000000	0	0	0.000000	0	mapped/SA-KN3.bam
29	0.000000	0.000000	0	0	0.000000	0	mapped/SA-KN4.bam
30	0.000000	0.000000	0	0	0.000000	0	mapped/SA-KN6.bam
31	0.000000	0.000000	0	0	0.000000	0	mapped/SA1d_ZA.bam
32	0.000000	0.000000	0	0	0.000000	0	mapped/SA3e.bam
33	0.000000	0.000000	0	0	0.000000	0	mapped/SA4c_ZA.bam
34	0.000000	0.000000	0	0	0.000000	0	mapped/SA5c.bam
35	0.000000	0.000000	0	0	0.000000	0	mapped/SA6e.bam
36	0.000000	0.000000	0	0	0.000000	0	mapped/Sample_55883.bam
37	0.000000	0.000000	0	0	0.000000	0	mapped/Sample_55887.bam
38	0.000000	0.000000	0	0	0.000000	0	mapped/Sample_55888.bam
39	0.000000	0.000000	0	0	0.000000	0	mapped/Sample_55890.bam
40	0.000000	0.000000	0	0	0.000000	0	mapped/Sample_55898.bam
41	0.000000	0.000000	0	0	0.000000	0	mapped/Sample_55902.bam
42	0.000000	0.000000	0	0	0.000000	0	mapped/Sample_55904.bam
43	0.000000	0.000000	0	0	0.000000	0	mapped/Sample_55933.bam
44	0.000000	0.000000	0	0	0.000000	0	mapped/Sample_55935.bam
45	0.000000	0.000000	0	0	0.000000	0	mapped/Sample_55937.bam
46	0.000000	0.000000	0	0	0.000000	0	mapped/Sample_55945.bam
47	0.000000	0.000000	0	0	0.000000	0	mapped/TF5a1_ES.bam
48	0.000000	0.000000	0	0	0.000000	0	mapped/UM142.bam
