CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	10931	12720	-	07.OZ_006882-T1		g00025_19	90	345	4663
scaffold_1	13951	14898	+	07.OZ_000001-T1		g00025_21	80	339	4229
scaffold_1	15833	17749	-	07.OZ_000002-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	20558	21804	+	07.OZ_000003-T1		g01053_1	98	341	341
scaffold_1	23056	24865	+	07.OZ_000004-T1		g01027_2	98	346	695
scaffold_1	25060	28371	-	07.OZ_000005-T1		g00815_2	80	344	348
scaffold_1	29316	30941	+	07.OZ_000006-T1		g00691_1	98	346	348
scaffold_1	31010	31597	-	07.OZ_000007-T1		g04916	98	344	345
scaffold_1	31951	33839	+	07.OZ_000008-T1		g01742	98	346	1038
scaffold_1	33825	36268	+	07.OZ_000009-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	36092	38049	-	07.OZ_000010-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	38151	39827	-	07.OZ_000011-T1	sorting nexin	g03562	98	345	346
scaffold_1	40389	41999	+	07.OZ_000012-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	42033	47489	-	07.OZ_000013-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	54639	58094	-	07.OZ_000017-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	58199	58597	-	07.OZ_000018-T1		g00397	98	346	1037
scaffold_1	60318	61550	-	07.OZ_000019-T1		g00160_3	98	327	331
scaffold_1	64251	66866	+	07.OZ_000020-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	66946	71074	+	07.OZ_000021-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	71790	74255	+	07.OZ_000022-T1		g00027_15	98	345	347
scaffold_1	75017	78576	+	07.OZ_000023-T1		g00760_1	98	345	350
scaffold_1	78654	80954	+	07.OZ_000024-T1		g02137	98	346	350
scaffold_1	80948	84290	-	07.OZ_000025-T1		g00034_2	98	346	348
scaffold_1	84958	86430	-	07.OZ_000026-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	88233	89568	+	07.OZ_000027-T1		g00528	98	344	346
scaffold_1	89580	93325	-	07.OZ_000028-T1		g01711	98	346	349
scaffold_1	93423	94547	-	07.OZ_000029-T1		g01786	98	345	688
scaffold_1	94856	97068	-	07.OZ_000030-T1		g01786	98	345	688
scaffold_1	97667	98359	-	07.OZ_000031-T1		g02596	98	346	347
scaffold_1	98415	99005	-	07.OZ_000032-T1		g00017	98	346	346
scaffold_1	99634	101270	+	07.OZ_000033-T1		g00460_2	98	346	1202
scaffold_1	101708	102668	-	07.OZ_000034-T1		g02790	98	345	348
scaffold_1	102986	103851	+	07.OZ_000035-T1		g00460_2	98	346	1202
scaffold_1	103762	107630	-	07.OZ_000036-T1	ERMES complex subunit	g00460_2	98	346	1202
scaffold_1	106982	109653	-	07.OZ_000037-T1	Nuclear receptor 2C2-associated protein	g00597_2	98	346	1042
scaffold_1	109935	111513	+	07.OZ_000038-T1	Cyclin-dependent kinase 20	g02691	98	346	347
scaffold_1	111531	112190	-	07.OZ_000039-T1		g06005	98	343	344
scaffold_1	112289	115485	+	07.OZ_000040-T1	AdoMet-dependent rRNA methyltransferase spb1	g00027_82	98	346	676
scaffold_1	115982	117613	+	07.OZ_000041-T1		g00027_82	98	346	676
scaffold_1	117661	119018	-	07.OZ_000042-T1		g02042	98	345	346
scaffold_1	119917	123970	-	07.OZ_000043-T1		g00942	98	346	678
scaffold_1	124190	125396	-	07.OZ_000044-T1		g00942	98	346	678
scaffold_1	125689	126574	-	07.OZ_000045-T1		g01350	98	346	1045
scaffold_1	127184	129907	-	07.OZ_000046-T1	DnaJ sub C member 7	g01159	98	346	788
scaffold_1	129978	132313	+	07.OZ_000047-T1		g00573_2	98	346	1046
scaffold_1	133505	138529	-	07.OZ_000048-T1	Phosphatidylinositol 4-kinase pik1alpha (PI4-kinase)(PtdIns-4-kinase)	g00573_2	98	346	1046
scaffold_1	138507	139730	-	07.OZ_000049-T1	Ribosomal RNA small subunit methyltransferase mra1	g01257	98	345	1037
scaffold_1	140008	144495	-	07.OZ_000050-T1		g00047_5	98	345	686
scaffold_1	144847	145644	-	07.OZ_000051-T1		g00047_5	98	345	686
scaffold_1	145579	154017	+	07.OZ_000052-T1	kinase subunit of RNA polymerase II carboxy-terminal domain kinase I	g00568	98	346	1056
scaffold_1	150940	154069	-	07.OZ_000053-T1	Short integuments 2, mitochondrial	g00568	98	346	1056
scaffold_1	155503	156651	+	07.OZ_000054-T1		g00070	98	346	1251
scaffold_1	157182	158823	+	07.OZ_000055-T1	ribosome bioproteinsis protein tsr3	g00070	98	346	1251
scaffold_1	158738	159586	-	07.OZ_000056-T1		g00070	98	346	1251
scaffold_1	159732	160365	+	07.OZ_000057-T1		g00070	98	346	1251
scaffold_1	160875	162487	+	07.OZ_000058-T1		g02626	98	344	344
scaffold_1	163099	164154	-	07.OZ_000059-T1	casein kinase 2 regulatory subunit	g00523	98	346	1737
scaffold_1	164531	165780	-	07.OZ_000060-T1	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like protein	g00523	98	346	1737
scaffold_1	166273	169291	-	07.OZ_000061-T1		g00179_3	98	345	692
scaffold_1	169867	172706	+	07.OZ_000062-T1		g00531	98	346	1417
scaffold_1	172845	175415	+	07.OZ_000063-T1		g00026_223	80	346	8582
scaffold_1	175423	175862	-	07.OZ_000064-T1		g03743	98	344	345
scaffold_1	176097	178143	+	07.OZ_000065-T1	mitotic spindle checkpoint protein Bub3	g00026_223	80	346	8582
scaffold_1	178354	180191	+	07.OZ_000066-T1		g00164	98	345	2131
scaffold_1	180296	183075	+	07.OZ_000067-T1		g00164	98	345	2131
scaffold_1	183074	185018	+	07.OZ_000068-T1		g03321	98	344	348
scaffold_1	185055	188485	-	07.OZ_000069-T1		g00168_2	98	345	2842
scaffold_1	191270	193291	+	07.OZ_000070-T1		g01113	98	345	948
scaffold_1	193385	195250	+	07.OZ_000071-T1		g01709_2	95	134	134
scaffold_1	196462	197849	-	07.OZ_000072-T1		g01709_1	98	342	343
scaffold_1	198400	200419	-	07.OZ_000073-T1		g00099_2	98	343	344
scaffold_1	200769	202238	+	07.OZ_000074-T1		g02366	98	344	347
scaffold_1	202529	204134	+	07.OZ_000075-T1		g01049	98	346	1035
scaffold_1	205230	206782	+	07.OZ_000076-T1		g00621	98	346	1063
scaffold_1	206885	208680	+	07.OZ_000077-T1		g00099_3	98	345	684
scaffold_1	208676	209861	-	07.OZ_000078-T1		g00532	98	346	1693
scaffold_1	209945	211088	+	07.OZ_000079-T1		g00133_3	98	345	1029
scaffold_1	211085	213722	-	07.OZ_000080-T1		g00099_3	98	345	684
scaffold_1	213719	215690	-	07.OZ_000081-T1		g02009	98	343	343
scaffold_1	215825	216403	+	07.OZ_000082-T1	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase subunit dad1	g02566	98	344	686
scaffold_1	216379	218144	-	07.OZ_000083-T1	Elongation factor 1-beta	g02566	98	344	686
scaffold_1	218648	222563	+	07.OZ_000084-T1		g00355	98	344	701
scaffold_1	223265	225539	-	07.OZ_000085-T1	transforming growth factor beta regulator 1	g00034_21	90	346	856
