CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	10528	12317	-	14.OZ_007056-T1		g00025_19	90	345	4663
scaffold_1	14536	15482	+	14.OZ_000001-T1		g00025_21	80	339	4229
scaffold_1	16417	18333	-	14.OZ_000002-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	21122	22368	+	14.OZ_000003-T1		g01053_1	98	341	341
scaffold_1	23620	25423	+	14.OZ_000004-T1		g01027_2	98	346	695
scaffold_1	25618	28929	-	14.OZ_000005-T1		g00815_2	80	344	348
scaffold_1	29874	31499	+	14.OZ_000006-T1		g00691_1	98	346	348
scaffold_1	31568	32155	-	14.OZ_000007-T1		g04916	98	344	345
scaffold_1	32509	34395	+	14.OZ_000008-T1		g01742	98	346	1038
scaffold_1	34381	36824	+	14.OZ_000009-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	36648	38605	-	14.OZ_000010-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	38707	40383	-	14.OZ_000011-T1	sorting nexin	g03562	98	345	346
scaffold_1	40945	42555	+	14.OZ_000012-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	42589	48045	-	14.OZ_000013-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	55196	58651	-	14.OZ_000017-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	58756	59154	-	14.OZ_000018-T1		g00397	98	346	1037
scaffold_1	60872	62104	-	14.OZ_000019-T1		g00160_3	98	327	331
scaffold_1	64805	67420	+	14.OZ_000020-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	67500	71628	+	14.OZ_000021-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	72344	74809	+	14.OZ_000022-T1		g00027_15	98	345	347
scaffold_1	75571	79130	+	14.OZ_000023-T1		g00760_1	98	345	350
scaffold_1	79208	81508	+	14.OZ_000024-T1		g02137	98	346	350
scaffold_1	81502	84844	-	14.OZ_000025-T1		g00034_2	98	346	348
scaffold_1	85512	86984	-	14.OZ_000026-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	88787	90122	+	14.OZ_000027-T1		g00528	98	344	346
scaffold_1	90134	93879	-	14.OZ_000028-T1		g01711	98	346	349
scaffold_1	93977	95101	-	14.OZ_000029-T1		g01786	98	345	688
scaffold_1	95410	97622	-	14.OZ_000030-T1		g01786	98	345	688
scaffold_1	98223	98915	-	14.OZ_000031-T1		g02596	98	346	347
scaffold_1	98971	99561	-	14.OZ_000032-T1		g00017	98	346	346
scaffold_1	100213	101753	+	14.OZ_000033-T1		g00460_2	98	346	1202
scaffold_1	102290	103250	-	14.OZ_000034-T1		g02790	98	345	348
