CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	6928	8717	-	36.OZ_006937-T1		g00025_19	90	345	4663
scaffold_1	13925	14872	+	36.OZ_000001-T1		g00025_21	80	339	4229
scaffold_1	15807	17723	-	36.OZ_000002-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	20532	21778	+	36.OZ_000003-T1		g01053_1	98	341	341
scaffold_1	23030	24839	+	36.OZ_000004-T1		g01027_2	98	346	695
scaffold_1	25034	28345	-	36.OZ_000005-T1		g00815_2	80	344	348
scaffold_1	29290	30915	+	36.OZ_000006-T1		g00691_1	98	346	348
scaffold_1	30984	31571	-	36.OZ_000007-T1		g04916	98	344	345
scaffold_1	31924	33913	+	36.OZ_000008-T1		g01742	98	346	1038
scaffold_1	33799	36242	+	36.OZ_000009-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	36066	38023	-	36.OZ_000010-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	38125	39801	-	36.OZ_000011-T1	sorting nexin	g03562	98	345	346
scaffold_1	40363	41973	+	36.OZ_000012-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	42007	47463	-	36.OZ_000013-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	54613	58068	-	36.OZ_000017-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	58173	58571	-	36.OZ_000018-T1		g00397	98	346	1037
scaffold_1	60292	61524	-	36.OZ_000019-T1		g00160_3	98	327	331
scaffold_1	64225	66840	+	36.OZ_000020-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	66920	71048	+	36.OZ_000021-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	71764	74229	+	36.OZ_000022-T1		g00027_15	98	345	347
scaffold_1	74991	78550	+	36.OZ_000023-T1		g00760_1	98	345	350
scaffold_1	78628	80928	+	36.OZ_000024-T1		g02137	98	346	350
scaffold_1	80922	84264	-	36.OZ_000025-T1		g00034_2	98	346	348
scaffold_1	84932	86404	-	36.OZ_000026-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	88207	89542	+	36.OZ_000027-T1		g00528	98	344	346
scaffold_1	89554	93299	-	36.OZ_000028-T1		g01711	98	346	349
scaffold_1	93397	94521	-	36.OZ_000029-T1		g01786	98	345	688
scaffold_1	94828	97040	-	36.OZ_000030-T1		g01786	98	345	688
scaffold_1	97639	98331	-	36.OZ_000031-T1		g02596	98	346	347
scaffold_1	98387	98976	-	36.OZ_000032-T1		g00017	98	346	346
scaffold_1	99607	101243	+	36.OZ_000033-T1		g00460_2	98	346	1202
scaffold_1	101681	102641	-	36.OZ_000034-T1		g02790	98	345	348
scaffold_1	102959	103824	+	36.OZ_000035-T1		g00460_2	98	346	1202
scaffold_1	103853	106772	-	36.OZ_000036-T1	ERMES complex subunit	g00460_2	98	346	1202
scaffold_1	106955	107553	-	36.OZ_000037-T1	Nuclear receptor 2C2-associated protein	g00460_2	98	346	1202
scaffold_1	107599	109626	-	36.OZ_000038-T1		g00597_2	98	346	1042
scaffold_1	109908	111486	+	36.OZ_000039-T1	Cyclin-dependent kinase 20	g02691	98	346	347
scaffold_1	111504	112163	-	36.OZ_000040-T1		g06005	98	343	344
scaffold_1	112262	115458	+	36.OZ_000041-T1	AdoMet-dependent rRNA methyltransferase spb1	g00027_82	98	346	676
scaffold_1	115955	117586	+	36.OZ_000042-T1		g00027_82	98	346	676
scaffold_1	117634	118991	-	36.OZ_000043-T1		g02042	98	345	346
scaffold_1	119890	123952	-	36.OZ_000044-T1		g00942	98	346	678
scaffold_1	124172	125378	-	36.OZ_000045-T1		g00942	98	346	678
scaffold_1	125671	126556	-	36.OZ_000046-T1		g01350	98	346	1045
scaffold_1	127166	129889	-	36.OZ_000047-T1	DnaJ sub C member 7	g01159	98	346	788
scaffold_1	129960	132295	+	36.OZ_000048-T1		g00573_2	98	346	1046
scaffold_1	133487	138511	-	36.OZ_000049-T1	Phosphatidylinositol 4-kinase pik1alpha (PI4-kinase)(PtdIns-4-kinase)	g00573_2	98	346	1046
scaffold_1	138489	139712	-	36.OZ_000050-T1	Ribosomal RNA small subunit methyltransferase mra1	g01257	98	345	1037
scaffold_1	139990	144477	-	36.OZ_000051-T1		g00047_5	98	345	686
scaffold_1	144829	145626	-	36.OZ_000052-T1		g00047_5	98	345	686
scaffold_1	145561	153999	+	36.OZ_000053-T1	kinase subunit of RNA polymerase II carboxy-terminal domain kinase I	g00568	98	346	1056
scaffold_1	150922	154051	-	36.OZ_000054-T1	GTP binding protein	g00568	98	346	1056
scaffold_1	155485	156633	+	36.OZ_000055-T1		g00070	98	346	1251
scaffold_1	157164	158805	+	36.OZ_000056-T1	ribosome bioproteinsis protein tsr3	g00070	98	346	1251
scaffold_1	158720	159568	-	36.OZ_000057-T1		g00070	98	346	1251
scaffold_1	159714	160354	+	36.OZ_000058-T1		g00070	98	346	1251
scaffold_1	160868	162480	+	36.OZ_000059-T1		g02626	98	344	344
scaffold_1	163092	164148	-	36.OZ_000060-T1	casein kinase 2 regulatory subunit	g00523	98	346	1737
scaffold_1	164525	165774	-	36.OZ_000061-T1	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like protein	g00523	98	346	1737
scaffold_1	166266	169287	-	36.OZ_000062-T1		g00179_3	98	345	692
scaffold_1	169863	172702	+	36.OZ_000063-T1		g00531	98	346	1417
scaffold_1	172841	175411	+	36.OZ_000064-T1		g00026_223	80	346	8582
scaffold_1	175419	175858	-	36.OZ_000065-T1		g03743	98	344	345
scaffold_1	176093	178139	+	36.OZ_000066-T1	mitotic spindle checkpoint protein Bub3	g00026_223	80	346	8582
scaffold_1	178350	180008	+	36.OZ_000067-T1		g00164	98	345	2131
scaffold_1	180113	182892	+	36.OZ_000068-T1		g00164	98	345	2131
scaffold_1	182952	184835	+	36.OZ_000069-T1		g03321	98	344	348
scaffold_1	184872	188302	-	36.OZ_000070-T1		g00168_2	98	345	2842
scaffold_1	190691	191187	+	36.OZ_000071-T1		g01113	98	345	948
scaffold_1	191863	193884	+	36.OZ_000072-T1		g01113	98	345	948
scaffold_1	193978	195843	+	36.OZ_000073-T1		g00074_3	70	128	128
scaffold_1	197437	198824	-	36.OZ_000075-T1		g01709_1	98	342	343
