CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	9761	10708	+	13.OZ_000001-T1		g00025_21	80	339	4229
scaffold_1	11643	13559	-	13.OZ_000002-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	16368	17614	+	13.OZ_000003-T1		g01053_1	98	341	341
scaffold_1	18866	20675	+	13.OZ_000004-T1		g01027_2	98	346	695
scaffold_1	20870	24181	-	13.OZ_000005-T1		g00815_2	80	344	348
scaffold_1	25126	26751	+	13.OZ_000006-T1		g00691_1	98	346	348
scaffold_1	26820	27407	-	13.OZ_000007-T1		g04916	98	344	345
scaffold_1	27760	29749	+	13.OZ_000008-T1		g01742	98	346	1038
scaffold_1	29635	32078	+	13.OZ_000009-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	31902	33859	-	13.OZ_000010-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	33961	35637	-	13.OZ_000011-T1	sorting nexin	g03562	98	345	346
scaffold_1	36199	37809	+	13.OZ_000012-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	37843	43299	-	13.OZ_000013-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	50449	53904	-	13.OZ_000017-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	54009	54407	-	13.OZ_000018-T1		g00397	98	346	1037
scaffold_1	56128	57360	-	13.OZ_000019-T1		g00160_3	98	327	331
scaffold_1	60061	62676	+	13.OZ_000020-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	62756	66884	+	13.OZ_000021-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	67600	70065	+	13.OZ_000022-T1		g00027_15	98	345	347
scaffold_1	70827	74386	+	13.OZ_000023-T1		g00760_1	98	345	350
scaffold_1	74464	76764	+	13.OZ_000024-T1		g02137	98	346	350
scaffold_1	76758	80100	-	13.OZ_000025-T1		g00034_2	98	346	348
scaffold_1	80768	82240	-	13.OZ_000026-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	84043	85378	+	13.OZ_000027-T1		g00528	98	344	346
scaffold_1	85390	89135	-	13.OZ_000028-T1		g01711	98	346	349
scaffold_1	89233	90357	-	13.OZ_000029-T1		g01786	98	345	688
scaffold_1	90664	92876	-	13.OZ_000030-T1		g01786	98	345	688
scaffold_1	93475	94167	-	13.OZ_000031-T1		g02596	98	346	347
scaffold_1	94223	94812	-	13.OZ_000032-T1		g00017	98	346	346
scaffold_1	95443	97079	+	13.OZ_000033-T1		g00460_2	98	346	1202
scaffold_1	97517	98477	-	13.OZ_000034-T1		g02790	98	345	348
scaffold_1	98795	99660	+	13.OZ_000035-T1		g00460_2	98	346	1202
scaffold_1	99571	103439	-	13.OZ_000036-T1	ERMES complex subunit	g00460_2	98	346	1202
scaffold_1	102791	105462	-	13.OZ_000037-T1	Nuclear receptor 2C2-associated protein	g00597_2	98	346	1042
scaffold_1	105744	107322	+	13.OZ_000038-T1	Cyclin-dependent kinase 20	g02691	98	346	347
scaffold_1	107340	107999	-	13.OZ_000039-T1		g06005	98	343	344
scaffold_1	108098	111294	+	13.OZ_000040-T1	AdoMet-dependent rRNA methyltransferase spb1	g00027_82	98	346	676
scaffold_1	111791	113422	+	13.OZ_000041-T1		g00027_82	98	346	676
scaffold_1	113470	114827	-	13.OZ_000042-T1		g02042	98	345	346
scaffold_1	115726	119779	-	13.OZ_000043-T1		g00942	98	346	678
scaffold_1	119999	121205	-	13.OZ_000044-T1		g00942	98	346	678
scaffold_1	121498	122383	-	13.OZ_000045-T1		g01350	98	346	1045
scaffold_1	123072	124963	-	13.OZ_000046-T1	DnaJ sub C member 7	g01159	98	346	788
scaffold_1	125128	125681	-	13.OZ_000047-T1		g01159	98	346	788
scaffold_1	125787	128122	+	13.OZ_000048-T1		g00573_2	98	346	1046
scaffold_1	129314	134338	-	13.OZ_000049-T1	Phosphatidylinositol 4-kinase pik1alpha (PI4-kinase)(PtdIns-4-kinase)	g00573_2	98	346	1046
scaffold_1	134316	135539	-	13.OZ_000050-T1	Ribosomal RNA small subunit methyltransferase mra1	g01257	98	345	1037
scaffold_1	135817	140304	-	13.OZ_000051-T1		g00047_5	98	345	686
scaffold_1	140656	141453	-	13.OZ_000052-T1		g00047_5	98	345	686
scaffold_1	141388	149826	+	13.OZ_000053-T1	kinase subunit of RNA polymerase II carboxy-terminal domain kinase I	g00568	98	346	1056
scaffold_1	146749	149878	-	13.OZ_000054-T1	Short integuments 2, mitochondrial	g00568	98	346	1056
scaffold_1	151312	152460	+	13.OZ_000055-T1		g00070	98	346	1251
scaffold_1	152991	154632	+	13.OZ_000056-T1	ribosome bioproteinsis protein tsr3	g00070	98	346	1251
scaffold_1	154547	155395	-	13.OZ_000057-T1		g00070	98	346	1251
scaffold_1	156762	158374	+	13.OZ_000058-T1		g02626	98	344	344
scaffold_1	158986	160042	-	13.OZ_000059-T1	casein kinase 2 regulatory subunit	g00523	98	346	1737
scaffold_1	160419	161668	-	13.OZ_000060-T1	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like protein	g00523	98	346	1737
scaffold_1	162160	165181	-	13.OZ_000061-T1		g00179_3	98	345	692
scaffold_1	165757	168596	+	13.OZ_000062-T1		g00531	98	346	1417
scaffold_1	168735	171305	+	13.OZ_000063-T1		g00026_223	80	346	8582
scaffold_1	171313	171752	-	13.OZ_000064-T1		g03743	98	344	345
scaffold_1	171987	174033	+	13.OZ_000065-T1	mitotic spindle checkpoint protein Bub3	g00026_223	80	346	8582
scaffold_1	174244	175902	+	13.OZ_000066-T1		g00164	98	345	2131
scaffold_1	176007	178786	+	13.OZ_000067-T1		g00164	98	345	2131
scaffold_1	178846	180729	+	13.OZ_000068-T1		g03321	98	344	348
scaffold_1	180766	184196	-	13.OZ_000069-T1		g00168_2	98	345	2842
scaffold_1	186585	187081	+	13.OZ_000070-T1		g01113	98	345	948
scaffold_1	187757	189778	+	13.OZ_000071-T1		g01113	98	345	948
scaffold_1	189872	191737	+	13.OZ_000072-T1		g00074_3	70	128	128
scaffold_1	193331	194718	-	13.OZ_000074-T1		g01709_1	98	342	343
scaffold_1	195269	197288	-	13.OZ_000075-T1		g00099_2	98	343	344
scaffold_1	197638	199107	+	13.OZ_000076-T1		g02366	98	344	347
scaffold_1	199398	201003	+	13.OZ_000077-T1		g01049	98	346	1035
scaffold_1	201075	203651	+	13.OZ_000078-T1	smg-9, nonsense mediated mRNA decay factor	g01155	98	345	668
scaffold_1	203754	205734	+	13.OZ_000079-T1		g00099_3	98	345	684
scaffold_1	205730	206915	-	13.OZ_000080-T1		g00532	98	346	1693
scaffold_1	207000	208143	+	13.OZ_000081-T1		g00133_3	98	345	1029
scaffold_1	208140	210963	-	13.OZ_000082-T1		g00099_3	98	345	684
scaffold_1	210960	212939	-	13.OZ_000083-T1		g02009	98	343	343
scaffold_1	213050	213764	+	13.OZ_000084-T1	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase subunit dad1	g02566	98	344	686
scaffold_1	213628	215393	-	13.OZ_000085-T1	Elongation factor 1-beta	g02566	98	344	686
scaffold_1	215621	220306	+	13.OZ_000086-T1	Coatomer subunit beta'	g00355	98	344	701
scaffold_1	220837	223111	-	13.OZ_000087-T1	transforming growth factor beta regulator 1	g00034_21	90	346	856
scaffold_1	224281	226846	+	13.OZ_000088-T1		g01642	98	344	862
scaffold_1	227580	228441	+	13.OZ_000089-T1		g01642	98	344	862
scaffold_1	228473	229437	-	13.OZ_000090-T1		g00205_1	98	342	343
scaffold_1	229913	233396	-	13.OZ_000091-T1	chaperone ATPase hsp78	g00310_2	98	345	686
scaffold_1	237699	240346	+	13.OZ_000092-T1		g01208_1	98	344	383
scaffold_1	243972	246223	+	13.OZ_000093-T1		g01840	98	345	353
scaffold_1	246303	247946	+	13.OZ_000094-T1		g01277	98	345	1042
scaffold_1	248432	249399	-	13.OZ_000095-T1		g00068_4	95	338	341
scaffold_1	250052	250963	-	13.OZ_000096-T1		g01199	70	346	1778
scaffold_1	251208	252736	-	13.OZ_000097-T1	Golgi to ER traffic- protein	g01199	70	346	1778
scaffold_1	252992	253784	-	13.OZ_000098-T1	LYR motif-containing protein 5	g00920	98	345	1047
scaffold_1	253611	256484	+	13.OZ_000099-T1	Peptidyl-prolyl isomerase cwc27	g00920	98	345	1047
scaffold_1	256447	260733	-	13.OZ_000100-T1	DNA helicase rad5	g00920	98	345	1047
scaffold_1	260867	265687	-	13.OZ_000102-T1	Cullin-2	g02086	98	344	687
