CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	10092	11881	-	FG184_007026-T1		g00025_19	90	345	4663
scaffold_1	14100	15046	+	FG184_000001-T1		g00025_21	80	339	4229
scaffold_1	15981	17897	-	FG184_000002-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	20686	21932	+	FG184_000003-T1		g01053_1	98	341	341
scaffold_1	23184	24987	+	FG184_000004-T1		g01027_2	98	346	695
scaffold_1	25182	28493	-	FG184_000005-T1		g00815_2	80	344	348
scaffold_1	29438	31063	+	FG184_000006-T1		g00691_1	98	346	348
scaffold_1	31132	31719	-	FG184_000007-T1		g04916	98	344	345
scaffold_1	32073	33959	+	FG184_000008-T1		g01742	98	346	1038
scaffold_1	33945	36388	+	FG184_000009-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	36212	38169	-	FG184_000010-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	38271	39947	-	FG184_000011-T1	sorting nexin	g03562	98	345	346
scaffold_1	40509	42119	+	FG184_000012-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	42153	47609	-	FG184_000013-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	54760	58215	-	FG184_000017-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	58320	58718	-	FG184_000018-T1		g00397	98	346	1037
scaffold_1	60436	61668	-	FG184_000019-T1		g00160_3	98	327	331
scaffold_1	64369	66984	+	FG184_000020-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	67064	71192	+	FG184_000021-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	71908	74373	+	FG184_000022-T1		g00027_15	98	345	347
scaffold_1	75135	78694	+	FG184_000023-T1		g00760_1	98	345	350
scaffold_1	78772	81072	+	FG184_000024-T1		g02137	98	346	350
scaffold_1	81066	84408	-	FG184_000025-T1		g00034_2	98	346	348
scaffold_1	85076	86548	-	FG184_000026-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	88351	89686	+	FG184_000027-T1		g00528	98	344	346
scaffold_1	89698	93443	-	FG184_000028-T1		g01711	98	346	349
scaffold_1	93541	94665	-	FG184_000029-T1		g01786	98	345	688
scaffold_1	94974	97186	-	FG184_000030-T1		g01786	98	345	688
scaffold_1	97787	98479	-	FG184_000031-T1		g02596	98	346	347
scaffold_1	98535	99125	-	FG184_000032-T1		g00017	98	346	346
scaffold_1	99777	101317	+	FG184_000033-T1		g00460_2	98	346	1202
scaffold_1	101854	102814	-	FG184_000034-T1		g02790	98	345	348
scaffold_1	103132	103997	+	FG184_000035-T1		g00460_2	98	346	1202
scaffold_1	104026	106945	-	FG184_000036-T1	ERMES complex subunit	g00460_2	98	346	1202
scaffold_1	107128	107726	-	FG184_000037-T1	Nuclear receptor 2C2-associated protein	g00460_2	98	346	1202
scaffold_1	107772	109799	-	FG184_000038-T1		g00597_2	98	346	1042
scaffold_1	110081	111659	+	FG184_000039-T1	Cyclin-dependent kinase 20	g02691	98	346	347
scaffold_1	111672	112336	-	FG184_000040-T1		g06005	98	343	344
scaffold_1	112435	115631	+	FG184_000041-T1	AdoMet-dependent rRNA methyltransferase spb1	g00027_82	98	346	676
scaffold_1	116128	117759	+	FG184_000042-T1		g00027_82	98	346	676
